//ao
//as24100

Header:
	Unk1 = "00-00-00-41-72-00-00-41-72-00-53-41-72-00-FF-FF-FF-FF-00"
	fn[0] = loc:22F
	fn[1] = loc:6D
	fn[2] = loc:AB
	fn[3] = loc:113
	fn[4] = loc:FF
	fn[5] = loc:230
	fn[6] = loc:FFFF
	fn[7] = loc:FFFF
	fn[8] = loc:FFFF
	fn[9] = loc:FFFF
	fn[10] = loc:FFFF
	fn[11] = loc:F4
	fn[12] = loc:E9
	fn[13] = loc:FFFF
	fn[14] = loc:FFFF
	fn[15] = loc:FFFF
	fn[16] = loc:232
	fn[17] = loc:348
	fn[18] = loc:FFFF
	fn[19] = loc:FFFF
	fn[20] = loc:FFFF
	fn[21] = loc:FFFF
	fn[22] = loc:FFFF
	fn[23] = loc:FFFF
	fn[24] = loc:FFFF
	fn[25] = loc:FFFF
	fn[26] = loc:FFFF
	fn[27] = loc:FFFF
	fn[28] = loc:FFFF
	fn[29] = loc:FFFF
	fn[30] = loc:FFFF
	fn[31] = loc:FFFF
	fn[32] = loc:FFFF
	fn[33] = loc:FFFF
	fn[34] = loc:0
	Unk2 = "80-B0-80-B0-80-B0-80-B0-80-B0-80-B0-80-B0-80-B0"

Func:
loc:6D:
	SelectChip(FF, 0)
	SubChip(FF, 0)
	Sleep(82)
	Update
	SubChip(FF, 1)
	Sleep(82)
	Update
	SubChip(FF, 2)
	Sleep(82)
	Update
	SubChip(FF, 1)
	Sleep(82)
	Update
	SubChip(FF, 0)
	Sleep(82)
	Update
	SubChip(FF, 3)
	Sleep(82)
	Update
	SubChip(FF, 4)
	Sleep(82)
	Update
	SubChip(FF, 3)
	Sleep(82)
	Update
	Goto(loc:6D)
loc:AB:
	SelectChip(FF, 1)
	SubChip(FF, 0)
	Sleep(28)
	Update
	SubChip(FF, 1)
	Sleep(28)
	Update
	SubChip(FF, 2)
	Sleep(28)
	Update
	SubChip(FF, 1)
	Sleep(28)
	Update
	SubChip(FF, 0)
	Sleep(28)
	Update
	SubChip(FF, 3)
	Sleep(28)
	Update
	SubChip(FF, 4)
	Sleep(28)
	Update
	SubChip(FF, 3)
	Sleep(28)
	Update
	Goto(loc:AB)
loc:E9:
	SelectChip(FF, 0)
	SubChip(FF, 0)
	Sleep(64)
	Update
	Return
loc:F4:
	SelectChip(FF, 2)
	SubChip(FF, 0)
	Sleep(0)
	Update
	Return
loc:FF:
	Sleep(1F4)
	Update
	Die
	SelectChip(FF, 2)
	SubChip(FF, 0)
	SeEx(202, 0)
	Sleep(1F4)
	Update
	Return
loc:113:
	SelectChip(FF, 0)
	SubChip(FF, 0)
	Sleep(0)
	Update
	Call(loc:121)
	Return
loc:121:
	ShakeChar(FF, FFFFFF38, 0, FFFFFF38)
	Sleep(32)
	Update
	ShakeChar(FF, C8, 0, C8)
	Sleep(32)
	Update
	ShakeChar(FF, FFFFFF38, 0, FFFFFF38)
	Sleep(32)
	Update
	ShakeChar(FF, C8, 0, C8)
	Sleep(32)
	Update
	ShakeChar(FF, FFFFFF6A, 0, FFFFFF6A)
	Sleep(32)
	Update
	ShakeChar(FF, 96, 0, 96)
	Sleep(32)
	Update
	ShakeChar(FF, FFFFFF9C, 0, FFFFFF9C)
	Sleep(32)
	Update
	ShakeChar(FF, 64, 0, 64)
	Sleep(32)
	Update
	ShakeChar(FF, FFFFFFCE, 0, FFFFFFCE)
	Sleep(32)
	Update
	ShakeChar(FF, 32, 0, 32)
	Sleep(32)
	Update
	ShakeChar(FF, FFFFFFCE, 0, FFFFFFCE)
	Sleep(32)
	Update
	ShakeChar(FF, 32, 0, 32)
	Sleep(32)
	Update
	ShakeChar(FF, 0, 0, 0)
	Sleep(32)
	Update
	Ret
	SelectChip(FF, 3)
loc:20F:
	SubChip(FF, 0)
	Sleep(82)
	Update
	SubChip(FF, 1)
	Sleep(82)
	Update
	SubChip(FF, 2)
	Sleep(82)
	Update
	SubChip(FF, 1)
	Sleep(82)
	Update
	Goto(loc:20F)
	Ret
loc:22F:
	Return
loc:230:
	ResetLoopTarget
	Return
loc:232:
	ResetLoopTarget
	OP_78(1)
	AddEff(0, "battle\cr000201.eff")
	OP_78(0)
	OP_95
	SetAngleTarget(FF, "", 0)
	Sleep(64)
	Update
	OP_95
	KeepAngle(FF, 0, 3E8, 0, 3E8)
	RotationAngleHorz(2710, 3E8)
	OP_C(FF, FE, 0, 1F4, 0)
	BeginThread(FF, 1, loc:6D, 0)
	BeginThread(FF, 2, loc:324, 0)
	Sleep(64)
	Update
	ShakeScreen(96, 96, 96, 2710)
	Sleep(1F4)
	Update
	ShowEff(FF, F9, 0, 0, 0, 0, 0, 0, 0, 0, 3E8, 3E8, 3E8, 2)
	SeEx(FE, 0)
	SeEx(275, 0)
	Blur(0, BBFFFFFF, 0, 1, 14)
	Sleep(3E8)
	Update
	OP_95
	SetAngleTarget(FF, "", 0)
	SetAngleTarget(FC, "", 0)
	MoveAngle(64, 1E14)
	OP_80(12C)
	BeatBack(6)
	ResetLoopTarget
loc:2DD:
	LoopTargetBegin(loc:30C)
	ShowEff(FF, F8, 13, 0, 0, 0, 0, 0, 0, 0, 3E8, 3E8, 3E8, FF)
	DamageAnime(FE, 1, 32)
	Damage(FE)
	Sleep(C8)
	Update
	LoopTargetEnd
	Goto(loc:2DD)
loc:30C:
	ResetLoopTarget
	Sleep(FA)
	Update
	ShakeScreen(64, 64, 64, 2710)
	Sleep(3E8)
	Update
	SuspendThread(FF, 1)
	ReleaseEff(0)
	Return
loc:324:
	TalkText(FF, "少給我開玩笑！這群小鬼們！！", 5DC)
	Return
loc:348:
	ResetLoopTarget
	OP_78(1)
	AddEff(0, "battle\cr000201.eff")
	AddEff(1, "battle\cr000200.eff")
	OP_78(0)
	OP_95
	SetAngleTarget(FF, "", 0)
	Sleep(64)
	Update
	OP_95
	KeepAngle(FF, 0, 3E8, 0, 3E8)
	RotationAngleHorz(2710, 3E8)
	OP_C(FF, FE, 0, 1F4, 0)
	BeginThread(FF, 1, loc:6D, 0)
	BeginThread(FF, 2, loc:44E, 0)
	Sleep(64)
	Update
	ShakeScreen(96, 96, 96, 2710)
	Sleep(1F4)
	Update
	ShowEff(FF, F9, 0, 0, 0, 0, 0, 0, 0, 0, 3E8, 3E8, 3E8, 2)
	SeEx(FE, 0)
	SeEx(275, 0)
	Blur(0, BBFFFFFF, 0, 1, 14)
	Sleep(3E8)
	Update
	OP_95
	SetAngleTarget(FF, "", 0)
	SetAngleTarget(FC, "", 0)
	MoveAngle(64, 1E14)
	OP_80(12C)
	ResetLoopTarget
loc:407:
	LoopTargetBegin(loc:436)
	ShowEff(FF, FE, 1, 0, 0, 0, 0, 0, 0, 0, 3E8, 3E8, 3E8, FF)
	DamageAnime(FE, 1, 32)
	Damage(FE)
	Sleep(C8)
	Update
	LoopTargetEnd
	Goto(loc:407)
loc:436:
	ResetLoopTarget
	Sleep(FA)
	Update
	ShakeScreen(64, 64, 64, 2710)
	Sleep(3E8)
	Update
	SuspendThread(FF, 1)
	ReleaseEff(0)
	Return
loc:44E:
	TalkText(FF, "我討厭蠢貨啊！！", 5DC)
	Return
