Id,Type,Point,Count,Name,Desc
1,1,100,305,"""天眼之智者""","""收集戰鬥手冊中的所有資訊。"""
2,1,100,53,"""市民的英雄""","""完成所有支援請求。"""
9,1,100,24,"""炎之料理人""","""收集所有食譜。"""
5,1,100,119,"""結晶迴路收藏家""","""收集所有結晶迴路。"""
3,1,100,14,"""小說愛好者""","""收集所有《沐浴陽光的阿尼艾絲》。"""
4,1,100,337,"""寶藏獵人""","""開啟所有寶箱。"""
8,1,100,31,"""爆釣王""","""釣獲所有魚。"""
10,1,50,24,"""三星廚師""","""完成所有大成功料理。"""
11,1,50,24,"""獨樹一幟的廚師""","""完成所有預想外料理。"""
36,3,50,0,"""Ｄ之追究者""","""解析所有Ｄ∴Ｇ教團的終端資料。"""
32,1,100,17,"""組合戰技大師""","""習得所有組合戰技。"""
12,1,50,0,"""百萬富翁""","""持有金錢達到1,000,000米拉以上。"""
16,1,50,100,"""力戰之勇士""","""戰鬥勝利次數達到100次。"""
17,1,100,500,"""奮戰之猛者""","""戰鬥勝利次數達到500次。"""
18,1,150,1000,"""歷戰之勝者""","""戰鬥勝利次數達到1000次。"""
19,1,100,2000,"""千討之志士""","""打倒2000個以上的敵人。"""
20,1,50,100,"""雷光一閃""","""發動先制攻擊次數達到100次。"""
21,1,50,100,"""超絕秘技""","""發動Ｓ－ＢＲＥＡＫ次數達到100次。"""
13,1,50,0,"""延續之雅士""","""遊玩時間超過100小時。"""
33,1,100,14,"""超一流搜查官""","""成為上級搜查官・１ＳＴ。"""
28,1,100,0,"""至高之劍""","""製作最強武器。"""
31,1,50,120,"""無雙之烈士""","""羅伊德、艾莉、緹歐、蘭迪的等級達到１２０。"""
6,1,50,27,"""傢俱收藏家""","""收集所有傢俱與ＥＮＩＧＭＡ機殼。"""
7,1,50,22,"""車迷""","""收集所有導力車組件。"""
29,1,100,7,"""至境之珠""","""變得可使用七屬性的核心魔法。"""
0,1,50,0,"""ＥＮＩＧＭＡⅡ用戶""","""變得能使用ＥＮＩＧＭＡⅡ。"""
34,1,100,0,"""老練的搜查官""","""以HARD以上的難度完成遊戲。"""
35,1,200,0,"""傳說中的搜查官""","""以NIGHTMARE難度完成遊戲。"""
40,3,50,0,"""Ｄ的殘影""","""完成序章『Ｄ的殘影』。"""
41,3,50,0,"""預兆～嶄新的每一日""","""完成第１章『預兆～嶄新的每一日』。"""
42,3,50,0,"""西塞姆利亞通商會議""","""完成第２章『西塞姆利亞通商會議』。"""
43,3,50,0,"""短暫的休息""","""完成間章『短暫的休息』。"""
44,3,50,0,"""胎動～眾獸的狂歡節""","""完成第３章『胎動～眾獸的狂歡節』。"""
45,3,50,0,"""命運未卜的克洛斯貝爾""","""完成第４章『命運未卜的克洛斯貝爾』。"""
46,3,50,0,"""跨越虛幻的樂土""","""完成斷章『跨越虛幻的樂土』。"""
47,3,50,0,"""即使如此我們仍是……""","""完成終章『即使如此我們仍是……』。"""
54,3,50,0,"""和達德利的羈絆""","""和達德利培養出深厚的羈絆。"""
51,3,50,0,"""和諾艾兒的羈絆""","""和諾艾兒培養出深厚的羈絆。"""
52,3,50,0,"""和瓦奇的羈絆""","""和瓦奇培養出深厚的羈絆。"""
53,3,50,0,"""和莉夏的羈絆""","""和莉夏培養出深厚的羈絆。"""
48,3,50,0,"""和艾莉的羈絆""","""和艾莉培養出深厚的羈絆。"""
49,3,50,0,"""和緹歐的羈絆""","""和緹歐培養出深厚的羈絆。"""
50,3,50,0,"""和蘭迪的羈絆""","""和蘭迪培養出深厚的羈絆。"""
38,3,200,0,"""緋紅的討伐者""","""打倒【緋紅】。"""
39,3,200,0,"""鋼的擊退者""","""使『鋼之聖女』雅里安洛德屈膝跪地。"""
22,1,50,100,"""百花迎擊""","""阻止敵人的招式・魔法驅動達100次。"""
23,1,50,400,"""絢爛攻守""","""達成爆擊獎勵值×4.00以上。"""
24,1,50,0,"""連戰連破""","""在3連鎖戰鬥中獲得勝利。"""
25,1,50,8,"""八頭擊滅""","""同時打倒8名敵人。"""
26,1,50,16,"""滅絕淘汰""","""單一戰鬥打倒16名敵人。"""
27,1,50,50,"""爆裂果敢""","""發動50次爆裂猛攻。"""
37,3,200,0,"""解明真相者""","""察覺伊安律師為計畫的首謀者之一。"""
55,3,200,0,"""傳至的思念、緊連的羈絆""","""和琪雅、芙蘭、賽西兒、伊莉雅、修莉培養出深厚的羈絆。"""
14,3,100,0,"""波姆碰！大師""","""在『波姆碰！』遊戲中戰勝所有對手。"""
13,3,100,4000,"""心臟大顆""","""在恐怖雲霄飛車遊戲中獲得4000分。"""
30,1,100,0,"""七耀之賢士""","""變得能使用七屬性所有最強攻擊魔法。"""
0,0,0,0,"""""",""""""
