Data1,Data2,Name,Content
,AA==,,"""讓３排滾輪上的圖案湊齊的拉霸遊戲。{wait}{0x03}首先，按下ＢＥＴ按鈕投入籌碼。
隨著賭金的多寡，會增加圖案的判定線。
（上限為３次）{wait}{0x03}按下ＢＥＴ右邊的開始按鈕，滾輪即會開始轉動。
在這個狀態下按下按鈕，便會從左邊開始停止轉動。{wait}{0x03}當所有的滾輪都停下來之後，若有湊齊特定３種圖案，
就能依各自的倍率獲得籌碼。
（按下#178I可確認每種圖案的倍率。）{wait}{0x03}湊齊３個『７』或『ＢＡＲ』，
可進入獎勵關卡，獲得大量的籌碼。
請積極湊齊這兩種圖案吧。{wait}"""
AAAAAA==,,,
//+qAGQAAwAACAA=,,"""加雷提""","""此遊戲是玩家與莊家１對１，
１次的遊戲需要用到５枚籌碼。{wait}{0x03}牌數為除去鬼牌的５２張。{wait}{0x03}從場上的３張和手中的３張當中選５張，
牌型較強者獲勝。{wait}{0x03}發到手中的牌可交換一次，選擇手上剩餘的牌
再選擇『ＣＨＡＮＧＥ』就能一決勝負。{wait}{0x03}獲勝可選擇獲得獎金，或繼續下一場比賽。{wait}{0x03}獎金會隨著獲勝星數的多寡增加，
累積７顆星就能獲得最高額的獎金。{wait}{0x03}在一決勝負前選擇『ＲＡＩＳＥ』就能花費１０枚籌碼，
讓獲勝時的星數＋１。{wait}{0x03}在一決勝負前選擇『ＦＯＬＤ』就能花費１０枚籌碼，
讓場上和手中的牌重新洗牌。{wait}"""
AAAAAA==,,,
//+qAGQAAwAABgI=,AA==,"""加雷提""","""《牌型》全部共有１０種，從最弱的開始說明。{wait}{0x03}【ＮＯ　ＰＡＩＲ】散牌
條件：不符合任一種《牌型》。{wait}{0x03}【１　ＰＡＩＲ】一對
條件：有１組相同數字的卡牌。{wait}{0x03}【２　ＰＡＩＲ】二對
條件：有２組相同數字的卡牌。{wait}{0x03}【３　ＯＦ　Ａ　ＫＩＮＤ】三條
條件：有３張相同數字的卡牌。{wait}{0x03}【ＳＴＲＡＩＧＨＴ】順子
條件：５張卡牌為連續數字。{wait}{0x03}※只有Ｋ可以連接到Ａ。
　１０、Ｊ、Ｑ、Ｋ、Ａ成立。
　但Ｊ、Ｑ、Ｋ、Ａ、２不成立。{wait}"""
//+qAGQAAwAABgA=,AAAA,"""加雷提""","""【ＦＬＵＳＨ】同花
條件：５張卡牌的花色相同。{wait}{0x03}【ＦＵＬＬＨＯＵＳＥ】葫蘆
條件：有３張相同數字加一對的卡牌。{wait}{0x03}【４　ＯＦ　Ａ　ＫＩＮＤ】四條
條件：有４張相同數字的卡牌。{wait}{0x03}【ＳＴＲＡＩＧＨＴＦＬＵＳＨ】同花順
條件：５張卡牌的花色相同且為連續數字。{wait}{0x03}【ＲＯＹＡＬＦＬＵＳＨ】同花大順
條件：由１０到Ａ所組成的同花順。{wait}"""
//+qAGQAAwAACQ0=,AA==,"""加雷提""","""此遊戲是玩家與莊家１對１，
１次的遊戲需要用到５枚籌碼。{wait}{0x03}牌數為除去鬼牌的５２張。{wait}{0x03}Ａ為１點或１１點，２～１０就如其牌面數字，Ｊ、Ｑ、Ｋ則為１０點，
由手牌合計點數較接近２１點的一方獲勝。
（２２點以上則為爆牌，為最低階的牌型。）{wait}{0x03}２張手牌恰好為２１點的牌型，
即為『ＢＬＡＣＫＪＡＣＫ』。
比３張以上的手牌合計２１點更強。{wait}{0x03}此外，若在不爆牌的情況下持有７張手牌，
即為『７ＣＡＲＤ』，
是比ＢＬＡＣＫＪＡＣＫ更強的牌型。{wait}{0x03}首先，會分別配發２張卡牌給玩家與莊家，
並從玩家的回合開始遊戲。{wait}{0x03}想要追加卡牌就選擇『ＨＩＴ』。
如果覺得已經足夠了就選『ＳＴＡＮＤ』。{wait}{0x03}莊家在低於１６時會選擇『ＨＩＴ』，
１７以上會選擇『ＳＴＡＮＤ』。{wait}{0x03}獲勝可選擇獲得獎金，或繼續下一場比賽。{wait}{0x03}獎金會隨著獲勝星數的多寡增加，
累積５顆星就能獲得最高額的獎金。{wait}"""
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
AAAAAA==,,,
//+qAGQAAwAAAA4=,AAAA,"""加雷提""","""#0C歡迎光臨。
這一桌玩的遊戲是梭哈。"""
//8AACYAAgAAABA=,AAA=,"""加雷提""","""#0CＲＡＩＳＥ……追加賭金。
我也要拿出真本事了。{wait}"""
//8AABwAAgAAARA=,AAA=,"""加雷提""","""#0C不繼續ＲＡＩＳＥ了嗎？
嗯，這樣也好。{wait}"""
//8AACQAAwAAABA=,AA==,"""加雷提""","""#0C那麼，現在開始重新發牌。
１局遊戲只會重發１次牌，
請務必牢記。{wait}"""
//8AABoAAgAAAAw=,,"""加雷提""","""#0C哦，要放棄這局遊戲嗎？{wait}{0x03}但無法取回賭金，
確定要放棄嗎？{wait}"""
//8AABwAAQAAAA4=,AA==,"""加雷提""","""#0C那我們繼續遊戲吧。{wait}"""
//8AABwAAgAAAA4=,AAA=,"""加雷提""","""#0C有湊到一手好牌嗎？
呵呵，真教人期待。{wait}"""
//9LABoAAgD/AAA=,AAA=,"""加雷提""","""#0C同花大順！
實在是太完美了。{wait}"""
//9LABYAAgD/AAA=,,"""加雷提""","""#0C同花順！
太厲害了……{wait}"""
//9LABoAAgD/AAA=,,"""加雷提""","""#0C四條。
……挺拿手的嘛。{wait}"""
